section_name,short_description,about,suggested_actions
GOVERN 1.1,"Legal and regulatory requirements involving AI are understood, managed, and documented.","AI systems may be subject to specific applicable legal and regulatory requirements. Some legal requirements can mandate (e.g., nondiscrimination, data privacy and security controls) documentation, disclosure, and increased AI system transparency. These requirements are complex and may not be applicable or differ across applications and contexts. For example, AI system testing processes for bias measurement, such as disparate impact, are not applied uniformly within the legal context. Disparate impact is broadly defined as a facially neutral policy or practice that disproportionately harms a group based on a protected trait. Notably, some modeling algorithms or debiasing techniques that rely on demographic information, could also come into tension with legal prohibitions on disparate treatment (i.e., intentional discrimination). Additionally, some intended users of AI systems may not have consistent or reliable access to fundamental internet technologies (a phenomenon widely described as the “digital divide”) or may experience difficulties interacting with AI systems due to disabilities or impairments. Such factors may mean different communities experience bias or other negative impacts when trying to access AI systems. Failure to address such design issues may pose legal risks, for example in employment related activities affecting persons with disabilities.","• Maintain awareness of the applicable legal and regulatory considerations and requirements specific to industry, sector, and business purpose, as well as the application context of the deployed AI system. • Align risk management efforts with applicable legal standards. • Maintain policies for training (and re-training) organizational staff about necessary legal or regulatory considerations that may impact AI-related design, development and deployment activities."
GOVERN 1.2,"The characteristics of trustworthy AI are integrated into organizational policies, processes, and procedures.","Policies, processes, and procedures are central components of effective AI risk management and fundamental to individual and organizational accountability. All stakeholders benefit from policies, processes, and procedures which require preventing harm by design and default. Organizational policies and procedures will vary based on available resources and risk profiles, but can help systematize AI actor roles and responsibilities throughout the AI lifecycle. Without such policies, risk management can be subjective across the organization, and exacerbate rather than minimize risks over time. Policies, or summaries thereof, are understandable to relevant AI actors. Policies reflect an understanding of the underlying metrics, measurements, and tests that are necessary to support policy and AI system design, development, deployment and use. Lack of clear information about responsibilities and chains of command will limit the effectiveness of risk management.","Organizational AI risk management policies should be designed to: 5 of 142 • Define key terms and concepts related to AI systems and the scope of their purposes and intended uses. • Connect AI governance to existing organizational governance and risk controls. • Align to broader data governance policies and practices, particularly the use of sensitive or otherwise risky data. • Detail standards for experimental design, data quality, and model training. • Outline and document risk mapping and measurement processes and standards. • Detail model testing and validation processes. • Detail review processes for legal and risk functions. • Establish the frequency of and detail for monitoring, auditing and review processes. • Outline change management requirements. • Outline processes for internal and external stakeholder engagement. • Establish whistleblower policies to facilitate reporting of serious AI system concerns. • Detail and test incident response plans. • Verify that formal AI risk management policies align to existing legal standards, and industry best practices and norms. • Establish AI risk management policies that broadly align to AI system trustworthy characteristics. • Verify that formal AI risk management policies include currently deployed and third- party AI systems."
GOVERN 1.3,Processes and procedures are in place to determine the needed level of risk management activities based on the organization's risk tolerance.,"Risk management resources are finite in any organization. Adequate AI governance policies delineate the mapping, measurement, and prioritization of risks to allocate resources toward the most material issues for an AI system to ensure effective risk management. Policies may specify systematic processes for assigning mapped and measured risks to standardized risk scales. AI risk tolerances range from negligible to critical – from, respectively, almost no risk to risks that can result in irredeemable human, reputational, financial, or environmental losses. Risk tolerance rating policies consider different sources of risk, (e.g., financial, operational, safety and wellbeing, business, reputational, or model risks). A typical risk measurement approach entails the multiplication, or qualitative combination, of measured or estimated impact and likelihood of impacts into a risk score (risk ≈ impact x likelihood). This score is then placed on a risk scale. Scales for risk may be qualitative, such as red- amber-green (RAG), or may entail simulations or econometric approaches. Impact 7 of 142 assessments are a common tool for understanding the severity of mapped risks. In the most fulsome AI risk management approaches, all models are assigned to a risk level.","• Establish policies to define mechanisms for measuring or understanding an AI system’s potential impacts, e.g., via regular impact assessments at key stages in the AI lifecycle, connected to system impacts and frequency of system updates. • Establish policies to define mechanisms for measuring or understanding the likelihood of an AI system’s impacts and their magnitude at key stages in the AI lifecycle. • Establish policies that define assessment scales for measuring potential AI system impact. Scales may be qualitative, such as red-amber-green (RAG), or may entail simulations or econometric approaches. • Establish policies for assigning an overall risk measurement approach for an AI system, or its important components, e.g., via multiplication or combination of a mapped risk’s impact and likelihood (risk ≈ impact x likelihood). • Establish policies to assign systems to uniform risk scales that are valid across the organization’s AI portfolio (e.g. documentation templates), and acknowledge risk tolerance and risk levels may change over the lifecycle of an AI system."
GOVERN 1.4,"The risk management process and its outcomes are established through transparent policies, procedures, and other controls based on organizational risk priorities.","Clear policies and procedures relating to documentation and transparency facilitate and enhance efforts to communicate roles and responsibilities for the Map, Measure and Manage functions across the AI lifecycle. Standardized documentation can help organizations systematically integrate AI risk management processes and enhance accountability efforts. For example, by adding their contact information to a work product document, AI actors can improve communication, increase ownership of work products, and potentially enhance consideration of product quality. Documentation may generate downstream benefits related to improved system replicability and robustness. Proper documentation storage and access procedures allow for quick retrieval of critical information during a negative incident. Explainable machine learning efforts (models and explanatory methods) may bolster technical documentation practices by introducing additional information for review and interpretation by AI Actors.","• Establish and regularly review documentation policies that, among others, address information related to: • AI actors contact informations • Business justification • Scope and usages • Expected and potential risks and impacts • Assumptions and limitations • Description and characterization of training data • Algorithmic methodology • Evaluated alternative approaches • Description of output data • Testing and validation results (including explanatory visualizations and information) • Down- and up-stream dependencies • Plans for deployment, monitoring, and change management • Stakeholder engagement plans • Verify documentation policies for AI systems are standardized across the organization and remain current. • Establish policies for a model documentation inventory system and regularly review its completeness, usability, and efficacy. • Establish mechanisms to regularly review the efficacy of risk management processes. • Identify AI actors responsible for evaluating efficacy of risk management processes and approaches, and for course-correction based on results. 9 of 142 • Establish policies and processes regarding public disclosure of the use of AI and risk management material such as impact assessments, audits, model documentation and validation and testing results. • Document and review the use and efficacy of different types of transparency tools and follow industry standards at the time a model is in use."
GOVERN 1.5,"Ongoing monitoring and periodic review of the risk management process and its outcomes are planned, organizational roles and responsibilities are clearly defined, including determining the frequency of periodic review.","AI systems are dynamic and may perform in unexpected ways once deployed or after deployment. Continuous monitoring is a risk management process for tracking unexpected issues and performance changes, in real-time or at a specific frequency, across the AI system lifecycle. Incident response and “appeal and override” are commonly used processes in information technology management. These processes enable real-time flagging of potential incidents, and human adjudication of system outcomes. Establishing and maintaining incident response plans can reduce the likelihood of additive impacts during an AI incident. Smaller organizations which may not have fulsome governance programs, can utilize incident response plans for addressing system failures, abuse or misuse.","• Establish policies to allocate appropriate resources and capacity for assessing impacts of AI systems on individuals, communities and society. • Establish policies and procedures for monitoring and addressing AI system performance and trustworthiness, including bias and security problems, across the lifecycle of the system. • Establish policies for AI system incident response, or confirm that existing incident response policies apply to AI systems. • Establish policies to define organizational functions and personnel responsible for AI system monitoring and incident response activities. • Establish mechanisms to enable the sharing of feedback from impacted individuals or communities about negative impacts from AI systems. • Establish mechanisms to provide recourse for impacted individuals or communities to contest problematic AI system outcomes. • Establish opt-out mechanisms. 11 of 142"
GOVERN 1.6,Mechanisms are in place to inventory AI systems and are resourced according to organizational risk priorities.,"An AI system inventory is an organized database of artifacts relating to an AI system or model. It may include system documentation, incident response plans, data dictionaries, links to implementation software or source code, names and contact information for relevant AI actors, or other information that may be helpful for model or system maintenance and incident response purposes. AI system inventories also enable a holistic view of organizational AI assets. A serviceable AI system inventory may allow for the quick resolution of: • specific queries for single models, such as “when was this model last refreshed?” • high-level queries across all models, such as, “how many models are currently deployed within our organization?” or “how many users are impacted by our models?” AI system inventories are a common element of traditional model risk management approaches and can provide technical, business and risk management benefits. Typically inventories capture all organizational models or systems, as partial inventories may not provide the value of a full inventory. 12 of 142","• Establish policies that define the creation and maintenance of AI system inventories. • Establish policies that define a specific individual or team that is responsible for maintaining the inventory. • Establish policies that define which models or systems are inventoried, with preference to inventorying all models or systems, or minimally, to high risk models or systems, or systems deployed in high-stakes settings. • Establish policies that define model or system attributes to be inventoried, e.g, documentation, links to source code, incident response plans, data dictionaries, AI actor contact information."
GOVERN 1.7,Processes and procedures are in place for decommissioning and phasing out of AI systems safely and in a manner that does not increase risks or decrease the organization’s trustworthiness.,"Irregular or indiscriminate termination or deletion of models or AI systems may be inappropriate and increase organizational risk. For example, AI systems may be subject to regulatory requirements or implicated in future security or legal investigations. To maintain trust, organizations may consider establishing policies and processes for the systematic and deliberate decommissioning of AI systems. Typically, such policies consider user and 13 of 142 community concerns, risks in dependent and linked systems, and security, legal or regulatory concerns. Decommissioned models or systems may be stored in a model inventory along with active models, for an established length of time.","• Establish policies for decommissioning AI systems. Such policies typically address: • User and community concerns, and reputational risks. • Business continuity and financial risks. • Up and downstream system dependencies. • Regulatory requirements (e.g., data retention). • Potential future legal, regulatory, security or forensic investigations. • Migration to the replacement system, if appropriate. • Establish policies that delineate where and for how long decommissioned systems, models and related artifacts are stored. • Establish practices to track accountability and consider how decommission and other adaptations or changes in system deployment contribute to downstream impacts for individuals, groups and communities. • Establish policies that address ancillary data or artifacts that must be preserved for fulsome understanding or execution of the decommissioned AI system, e.g., predictions, explanations, intermediate input feature representations, usernames and passwords, etc."
GOVERN 2.1,"Roles and responsibilities and lines of communication related to mapping, measuring, and managing AI risks are documented and are clear to individuals and teams throughout the organization.","The development of a risk-aware organizational culture starts with defining responsibilities. For example, under some risk management structures, professionals carrying out test and evaluation tasks are independent from AI system developers and report through risk management functions or directly to executives. This kind of structure may help counter implicit biases such as groupthink or sunk cost fallacy and bolster risk management functions, so efforts are not easily bypassed or ignored. Instilling a culture where AI system design and implementation decisions can be questioned and course- corrected by empowered AI actors can enhance organizations’ abilities to anticipate and effectively manage risks before they become ingrained.","• Establish policies that define the AI risk management roles and responsibilities for positions directly and indirectly related to AI systems, including, but not limited to • Boards of directors or advisory committees • Senior management • AI audit functions • Product management • Project management • AI design • AI development • Human-AI interaction • AI testing and evaluation • AI acquisition and procurement 15 of 142 • Impact assessment functions • Oversight functions • Establish policies that promote regular communication among AI actors participating in AI risk management efforts. • Establish policies that separate management of AI system development functions from AI system testing functions, to enable independent course-correction of AI systems. • Establish policies to identify, increase the transparency of, and prevent conflicts of interest in AI risk management efforts. • Establish policies to counteract confirmation bias and market incentives that may hinder AI risk management efforts. • Establish policies that incentivize AI actors to collaborate with existing legal, oversight, compliance, or enterprise risk functions in their AI risk management activities."
GOVERN 2.2,"The organization’s personnel and partners receive AI risk management training to enable them to perform their duties and responsibilities consistent with related policies, procedures, and agreements.","To enhance AI risk management adoption and effectiveness, organizations are encouraged to identify and integrate appropriate training curricula into enterprise learning requirements. Through regular training, AI actors can maintain awareness of: • AI risk management goals and their role in achieving them. • Organizational policies, applicable laws and regulations, and industry best practices and norms. See [MAP 3.4]() and [3.5]() for additional relevant information.","• Establish policies for personnel addressing ongoing education about: • Applicable laws and regulations for AI systems. • Potential negative impacts that may arise from AI systems. • Organizational AI policies. • Trustworthy AI characteristics. • Ensure that trainings are suitable across AI actor sub-groups - for AI actors carrying out technical tasks (e.g., developers, operators, etc.) as compared to AI actors in oversight roles (e.g., legal, compliance, audit, etc.). • Ensure that trainings comprehensively address technical and socio-technical aspects of AI risk management. • Verify that organizational AI policies include mechanisms for internal AI personnel to acknowledge and commit to their roles and responsibilities. • Verify that organizational policies address change management and include mechanisms to communicate and acknowledge substantial AI system changes. • Define paths along internal and external chains of accountability to escalate risk concerns."
GOVERN 2.3,Executive leadership of the organization takes responsibility for decisions about risks associated with AI system development and deployment.,"Senior leadership and members of the C-Suite in organizations that maintain an AI portfolio, should maintain awareness of AI risks, affirm the organizational appetite for such risks, and be responsible for managing those risks.. Accountability ensures that a specific team and individual is responsible for AI risk management efforts. Some organizations grant authority and resources (human and budgetary) to a designated officer who ensures adequate performance of the institution’s AI portfolio (e.g. predictive modeling, machine learning).","• Organizational management can: • Declare risk tolerances for developing or using AI systems. • Support AI risk management efforts, and play an active role in such efforts. • Integrate a risk and harm prevention mindset throughout the AI lifecycle as part of organizational culture • Support competent risk management executives. • Delegate the power, resources, and authorization to perform risk management to each appropriate level throughout the management chain. 18 of 142 • Organizations can establish board committees for AI risk management and oversight functions and integrate those functions within the organization’s broader enterprise risk management approaches."
